oid,label,n_det,t_span
ZTF18abhdxwz,CV,29,2429.141
ZTF18abhpyqs,CV,57,2622.825
ZTF18abhqaxd,CV,23,1107.952
ZTF18abhqcfi,CV,246,2728.241
ZTF18abiyatb,CV,549,2902.134
ZTF18abjcyha,CV,231,2752.671
ZTF18abjdnoh,AGN,256,1650.341
ZTF18abjgzxw,AGN,1090,2789.121
ZTF18abjhbss,AGN,1813,2790.173
ZTF18abjlyzc,CV,204,2643.857
ZTF18abjqaxg,CV,21,1834.192
ZTF18abjrbza,SN Ic,1271,2688.701
ZTF18abjrdzt,CV,104,2497.949
ZTF18abjsdwi,CV,20,2825.273
ZTF18abjsjyx,CV,108,2789.36
ZTF18abjwahi,SN Ia,255,2746.377
ZTF18abjyjfe,AGN,210,2702.428
ZTF18abjzaic,CV,35,2722.361
ZTF18abkijlr,CV,117,2905.146
ZTF18abklbam,SN II,10,144.329
ZTF18abkojhi,AGN,1309,2754.258
ZTF18abktleu,CV,627,2740.766
ZTF18abkwfxq,AGN,714,2910.124
ZTF18ablerlf,CV,18,1768.144
ZTF18ablfqxm,CV,45,2349.665
ZTF18ablgqyq,CV,102,2778.084
ZTF18ablovbj,CV,422,2694.814
ZTF18ablqehq,SN IIn,14,111.293
ZTF18ablrlbm,AGN,720,2740.308
ZTF18ablrljh,SN Ia,49,43.962
ZTF18abltfho,SN IIn,32,51.961
ZTF18ablusuz,CV,44,2906.979
ZTF18ablvazp,CV,86,2666.875
ZTF18ablvxdg,AGN,458,2811.176
ZTF18ablvxkh,CV,35,2396.167
ZTF18ablwafp,SLSN-I,34,85.749
ZTF18ablwhde,CV,173,2832.086
ZTF18ablwqqf,CV,84,2898.12
ZTF18ablwrch,CV,41,2843.189
ZTF18abmanuy,CV,326,2903.986
ZTF18abmasep,SLSN-I,536,2692.764
ZTF18abmbdbg,CV,17,31.037
ZTF18abmdoni,CV,39,2645.813
ZTF18abmdpwe,SN II,30,92.753
ZTF18abmefij,AGN,747,2905.087
ZTF18abmfpyr,CV,59,2417.18
ZTF18abmjija,AGN,572,2618.883
ZTF18abmlyil,CV,31,2541.975
ZTF18abmoung,SN Ia,24,41.896
ZTF18abmqrwk,CV,16,21.918
ZTF18abmsxzs,CV,41,2544.07
ZTF18abmwszl,AGN,888,2868.046
ZTF18abmxatl,CV,21,2092.202
ZTF18abmxdhb,SN Ia,47,44.039
ZTF18abnbnoa,CV,73,2660.897
ZTF18abnbxsy,CV,169,2572.876
ZTF18abnnnzk,AGN,380,2896.12
ZTF18abnoplg,CV,58,2867.11
ZTF18abnouoo,CV,435,2896.077
ZTF18abnuark,CV,448,2531.024
ZTF18abnuhuy,AGN,569,2467.016
ZTF18abnvuya,CV,44,2711.365
ZTF18abnvwgk,CV,23,1345.25
ZTF18abnyktn,CV,35,2750.185
ZTF18abnytkt,CV,55,2530.997
ZTF18aboerpp,AGN,718,2725.63
ZTF18abojong,CV,97,2870.164
ZTF18abojrnv,CV,64,2496.151
ZTF18abokhip,CV,231,2896.056
ZTF18abolvoh,SN Ia,994,2894.897
ZTF18abolvzu,AGN,769,2838.037
ZTF18aboshoe,CV,73,1062.051
ZTF18abotthj,AGN,410,2883.09
ZTF18abotzrm,CV,28,2487.224
ZTF18abpmwlt,CV,85,2848.146
ZTF18abqarng,AGN,350,2712.689
ZTF18abqcsdq,CV,15,2748.333
ZTF18abqzouu,AGN,113,2256.886
ZTF18abrcvbu,SN Ia,17,27.893
ZTF18abrnttt,CV,31,2779.233
ZTF18abrqfjs,CV,400,2716.73
ZTF18abrwwzs,CV,44,16.044
ZTF18abrxhun,CV,22,2211.032
ZTF18abrzevn,AGN,664,2715.415
ZTF18absdddn,CV,75,2852.159
ZTF18absewls,AGN,258,2880.052
ZTF18absgmhg,AGN,1584,2885.078
ZTF18absgzlq,CV,113,2735.22
ZTF18abshezu,SLSN-I,40,2882.126
ZTF18abshnzy,CV,56,2327.927
ZTF18absibtp,AGN,246,2731.223
ZTF18absiejw,CV,184,2883.026
ZTF18absioqj,CV,23,2080.189
ZTF18absjiej,CV,17,2505.005
ZTF18abskbng,CV,110,2597.017
ZTF18absldfl,SN II,36,125.774
ZTF18absliyc,SN Ic,17,67.914
ZTF18absltuj,AGN,709,2711.796
ZTF18absmdtd,CV,122,2528.057
ZTF18absmoql,CV,66,2596.015
ZTF18absmpcp,AGN,80,2152.08
ZTF18absnibc,CV,21,2721.337
ZTF18absqkfg,AGN,1090,2878.034
ZTF18absrffm,CV,12,2841.211
ZTF18absrlhv,AGN,2453,2700.319
ZTF18abssoen,CV,621,2748.213
ZTF18absxczg,CV,38,2437.196
ZTF18abtcikd,AGN,735,2848.09
ZTF18abtgnxs,AGN,224,2661.766
ZTF18abthqde,CV,48,2232.979
ZTF18abthvpk,CV,517,2897.993
ZTF18abtjakn,CV,382,2879.149
ZTF18abtlwvs,AGN,977,2851.051
ZTF18abtmeds,AGN,572,2819.253
ZTF18abtmhfz,CV,201,2665.693
ZTF18abtnfmp,AGN,613,2698.814
ZTF18abtoued,AGN,776,2879.079
ZTF18abtrowl,AGN,893,2879.947
ZTF18abtrvrj,CV,67,2670.809
ZTF18abtslka,AGN,412,2866.092
ZTF18abtvbct,CV,158,2850.11
ZTF18abucnqk,CV,167,2877.026
ZTF18abuegjm,AGN,846,2876.038
ZTF18abuesai,AGN,502,2874.134
ZTF18abufgdj,AGN,201,2654.771
ZTF18abuhyjv,SN Ia,26,86.781
ZTF18abujubn,AGN,11,1250.333
ZTF18abumflq,CV,46,1597.82
ZTF18abumssq,CV,71,2635.892
ZTF18abunlhk,AGN,484,2876.073
ZTF18abuoilc,AGN,164,2626.911
ZTF18abuqkdh,AGN,199,2547.992
ZTF18abuwcul,AGN,296,2657.778
ZTF18abvftig,CV,887,2700.833
ZTF18abvgghe,CV,16,101.809
ZTF18abvgjgb,SN IIn,338,2789.649
ZTF18abvgjyl,SLSN-I,356,2767.718
ZTF18abvklbt,AGN,477,2833.075
ZTF18abvnsmh,AGN,884,2873.065
ZTF18abvoyen,CV,54,2655.841
ZTF18abvwpnt,CV,27,2851.091
ZTF18abvwqtp,AGN,830,2871.139
ZTF18abwcgrm,AGN,742,2643.812
ZTF18abwdnml,CV,35,2455.215
ZTF18abwjzpq,CV,90,2861.026
ZTF18abwnpri,CV,149,2601.981
ZTF18abwqbxc,CV,95,2627.859
ZTF18abwugyc,CV,28,2010.3
ZTF18abxcues,CV,320,2716.333
ZTF18abxdker,CV,174,2650.863
ZTF18abxhyqv,AGN,804,2439.334
ZTF18abxmbfq,CV,112,2516.933
ZTF18abxrngw,AGN,370,2857.092
ZTF18abxucht,SN II,36,56.806
ZTF18abxvolr,CV,20,2228.991
ZTF18abxxhqq,CV,41,2513.109
ZTF18abxxhta,CV,124,2843.127
ZTF18abxxngn,CV,38,2550.028
ZTF18abxyutn,CV,105,2454.225
ZTF18abxywlg,CV,109,2647.914
ZTF18abxznky,CV,123,2683.797
ZTF18abyfcns,AGN,1150,2693.902
ZTF18abyjgcx,AGN,237,2677.772
ZTF18abyvbat,CV,73,2553.114
ZTF18abyxwrs,CV,99,2671.807
ZTF18abyzkeq,CV,39,2525.134
ZTF18abyzmsb,CV,41,2643.918
ZTF18abzboft,AGN,268,2665.756
ZTF18abzmujj,CV,73,2813.189
ZTF18abzmxax,CV,40,2580.051
ZTF18abzpxel,CV,91,2640.008
ZTF18abzsimu,AGN,244,2574.92
ZTF18abzylls,AGN,366,2790.229
ZTF18acahbqb,AGN,339,2629.04
ZTF18acaisao,CV,44,2240.907
ZTF18acajosk,CV,83,2778.138
ZTF18acaktuk,CV,165,2663.897
ZTF18acaobkv,AGN,746,2644.942
ZTF18acapkod,CV,58,2570.047
ZTF18acauijl,CV,166,2522.152
ZTF18acaujas,CV,175,2631.888
ZTF18acauwik,AGN,408,2459.023
ZTF18acawxza,CV,43,2490.067
ZTF18acayrgz,AGN,267,2692.347
ZTF18acbuemc,SN II,16,64.839
ZTF18acbvcmw,SN Ia,21,68.777
ZTF18acbvczr,CV,82,2632.925
ZTF18acbvkwl,AGN,254,2657.747
ZTF18acbvmhq,CV,86,2652.903
ZTF18acbweyd,AGN,662,2651.859
ZTF18acbwjyx,CV,51,2592.052
ZTF18acbwkjw,CV,34,1639.357
ZTF18acbwkqu,CV,19,2722.388
ZTF18acbwkso,CV,14,1681.287
ZTF18acbwvsp,SN IIn,41,70.999
ZTF18acbxphq,CV,42,2715.343
ZTF18acbxsge,SN Ia,22,67.873
ZTF18acbyeid,AGN,793,2823.161
ZTF18acbzitw,CV,304,2635.892
ZTF18accdrut,AGN,152,2457.237
ZTF18accdvur,AGN,71,2700.667
ZTF18accjdgs,SN Ia,450,2820.219
ZTF18acckpzv,AGN,262,2649.772
ZTF18accnfrz,SN IIn,140,2693.798
ZTF18accnlhl,AGN,893,2638.901
ZTF18accnlml,AGN,123,2758.677
ZTF18accnyyz,CV,10,30.037
ZTF18accxhhd,AGN,301,2818.179
ZTF18acdvvgx,SN II,347,2632.917
ZTF18acdvvnc,AGN,94,2767.688
ZTF18acdvwvx,CV,119,2718.654
ZTF18acdwmsx,AGN,856,2720.337
ZTF18aceaape,AGN,785,2823.135
ZTF18acealtv,CV,56,2786.197
ZTF18acecpja,CV,90,2630.912
ZTF18acecqjl,CV,149,2632.862
ZTF18acefxko,SN Ia,268,2690.733
ZTF18aceijsp,AGN,1378,2600.944
ZTF18acejejm,AGN,165,2599.934
ZTF18acenqto,SLSN-I,545,2663.846
ZTF18acepwhb,SN Ia,194,2627.838
ZTF18aceqrrs,SN Ic,91,2716.76
ZTF18acetnxh,AGN,10,55.983
ZTF18acfvhko,AGN,10,2587.938
ZTF18acgdepq,CV,111,2814.196
ZTF18acgphfu,AGN,1873,2812.08
ZTF18acgqweq,AGN,342,2648.753
ZTF18acgusct,CV,38,2687.672
ZTF18acgvhxo,AGN,726,2724.653
ZTF18achbuhn,AGN,328,2713.814
ZTF18achcpwu,SN Ic,25,132.72
ZTF18achdidy,SLSN-I,17,61.962
ZTF18achfdlr,CV,157,2589.835
ZTF18achkbum,CV,27,2495.156
ZTF18achszwx,AGN,633,2667.735
ZTF18achtnvk,SN II,57,105.78
ZTF18acjpret,SN IIn,67,1468.026
ZTF18acnadpj,CV,38,2536.012
ZTF18acnbgrb,SN Ia,23,65.038
ZTF18acnnrar,AGN,289,2701.701
ZTF18acnnxzz,SN Ia,234,2734.683
ZTF18acpdwoa,AGN,340,2734.73
ZTF18acpfelg,AGN,839,2666.734
ZTF18acpuiwv,CV,105,2615.921
ZTF18acpuxuh,SN Ia,10,38.855
ZTF18acqighv,AGN,68,2728.644
ZTF18acqphpd,SN Ic,22,81.947
ZTF18acqvqpi,AGN,333,2631.966
ZTF18acrcfax,CV,75,2777.115
ZTF18acrcogn,SN II,22,66.76
ZTF18acrcpbe,CV,85,2753.121
ZTF18acrcybx,CV,55,2618.819
ZTF18acrgunw,SN Ia,14,37.975
ZTF18acrhfbk,AGN,70,2734.809
ZTF18acrlmvt,SN Ia,28,72.835
ZTF18acrtvmm,SN II,28,106.78
ZTF18acrtykk,SN Ia,19,1721.099
ZTF18acruvgj,AGN,293,2610.917
ZTF18acrxnfr,CV,512,2684.72
ZTF18acrygfl,AGN,205,2703.729
ZTF18acsjdxo,CV,26,2122.228
ZTF18acsjrbc,SN Ic,24,38.007
ZTF18acsjzcl,CV,35,2576.083
ZTF18acsvogv,CV,27,721.04
ZTF18acswkeb,CV,105,2534.009
ZTF18acswlfw,CV,29,2320.35
ZTF18acsxguy,CV,49,2395.305
ZTF18actwrnh,CV,36,2523.074
ZTF18acuatde,CV,13,24.164
ZTF18acuavde,AGN,296,2617.838
ZTF18acuepcb,AGN,703,2754.675
ZTF18acufhuz,AGN,677,2770.644
ZTF18acuqskr,SN II,17,60.759
ZTF18acvbigh,AGN,251,2524.12
ZTF18acvbpcv,CV,47,2394.234
ZTF18acvgjqv,SN IIn,72,430.81
ZTF18acvgnil,AGN,23,175.756
ZTF18acvhqfj,AGN,731,2611.946
ZTF18acvjhht,AGN,610,2770.649
ZTF18acvqeua,CV,46,2295.956
ZTF18acwugwx,AGN,670,2636.913
ZTF18acwwkxt,CV,107,2676.712
ZTF18acwwkyl,AGN,341,2674.733
ZTF18acwycwi,CV,238,2752.714
ZTF18acwzyor,SN IIn,50,2241.838
ZTF18acxcokz,AGN,571,2651.669
ZTF18acxcttu,AGN,422,2719.651
ZTF18acxgqxq,SLSN-I,13,51.005
ZTF18acxhvzb,AGN,80,2283.964
ZTF18acxiffk,CV,66,2456.225
ZTF18acxwtbe,CV,22,2180.002
ZTF18acyonld,CV,66,2285.959
ZTF18acyxnyw,SLSN-I,49,156.694
ZTF18aczergg,AGN,709,2604.925
ZTF18aczexlh,AGN,434,2705.776
ZTF18aczfdlm,CV,64,2425.102
ZTF18aczqzrj,SN Ic,17,50.711
ZTF18aczyagh,AGN,170,2644.97
ZTF18aczygck,CV,54,2257.017
ZTF18adachkc,AGN,377,2760.75
ZTF18adaifgd,CV,12,2147.177
ZTF18adaifhl,CV,20,2631.913
ZTF18adaldgc,AGN,162,2722.785
ZTF18adallcx,AGN,400,2065.627
ZTF18adasisj,SN Ic,24,66.948
ZTF18adatosi,SN Ia,12,42.89
ZTF18adayxxz,CV,121,2642.883
ZTF18adazblo,SN II,28,111.791
ZTF18adazgdh,SN Ia,31,42.758
ZTF18adbacli,AGN,639,2766.664
ZTF18adbacqi,AGN,315,2748.669
ZTF18adbihlb,CV,38,2686.711
ZTF18adbinya,AGN,261,2752.649
ZTF18adbmrug,SN IIn,25,306.142
ZTF18adhzhfw,CV,48,1887.936
ZTF18adiaqui,CV,14,1401.05
ZTF18adiqzzp,AGN,256,1256.803
ZTF18adjkwyk,AGN,215,1454.143
ZTF18adjoimi,AGN,20,737.884
ZTF19aaacdto,AGN,236,2289.791
ZTF19aaafqfi,AGN,473,2615.935
ZTF19aaahoap,CV,52,2505.128
ZTF19aaaicmw,AGN,376,2341.668
ZTF19aaaiosa,CV,13,2178.201
ZTF19aaaiszg,AGN,313,2587.944
ZTF19aaaizjh,CV,17,2455.277
ZTF19aaajarm,AGN,261,2619.904
ZTF19aabfzin,AGN,67,1409.04
ZTF19aabhktg,CV,54,2534.042
ZTF19aabimbg,CV,37,23.998
ZTF19aabyoce,CV,54,2568.985
ZTF19aabyxhe,AGN,231,2726.714
ZTF19aaciohh,AGN,229,1237.881
ZTF19aacipwt,AGN,394,2716.72
ZTF19aacomym,AGN,433,2701.36
ZTF19aacwjfb,AGN,63,2653.835
ZTF19aacxrab,SLSN-I,21,93.803
ZTF19aademoc,AGN,504,2701.778
ZTF19aadfumv,AGN,245,2726.714
ZTF19aadggnt,AGN,166,2360.693
ZTF19aadgimr,SN IIn,97,232.643
ZTF19aadkzep,AGN,290,2589.9
ZTF19aadnmgf,SN Ia,18,78.73
ZTF19aadnwvc,SN Ia,12,32.977
ZTF19aadnxgj,SN Ia,13,54.975
ZTF19aadpxek,CV,62,2563.013
ZTF19aadttht,SN Ic,51,216.629
ZTF19aadufor,CV,68,2726.746
ZTF19aadwtoe,SN Ic,26,2426.324
ZTF19aaefsad,AGN,409,2738.297
ZTF19aaeftfc,CV,21,2461.162
ZTF19aaerbzy,SN IIn,479,2616.876
ZTF19aaezale,SN IIn,101,201.672
ZTF19aafcgif,AGN,249,2643.903
ZTF19aaflcgn,AGN,11,1910.949
ZTF19aaflhah,AGN,88,2612.788
ZTF19aafltef,AGN,363,2682.848
ZTF19aafmwcu,AGN,225,2683.799
ZTF19aafmyow,SN Ic,89,232.637
ZTF19aafnecv,SN Ia,22,88.895
ZTF19aagnhug,AGN,12,95.734
ZTF19aagzanb,AGN,601,2579.963
ZTF19aailcgs,SN Ic,34,93.778
ZTF19aailepg,SN II,66,146.736
ZTF19aailpwl,AGN,273,769.959
ZTF19aailvgo,SN Ia,13,57.873
ZTF19aaingkb,AGN,143,744.002
ZTF19aaiohcc,AGN,246,2229.959
ZTF19aaippyv,AGN,596,2655.841
ZTF19aaipqls,AGN,186,2596.07
ZTF19aajwhse,SN Ia,64,2673.832
ZTF19aajwlap,AGN,150,2540.953
ZTF19aajwtkb,AGN,25,2513.019
ZTF19aaklfkk,CV,53,2579.042
ZTF19aaknqmp,SLSN-I,13,45.953
ZTF19aakpccq,SN II,17,63.817
ZTF19aakpcuw,SN Ic,30,118.807
ZTF19aakpkto,CV,55,2534.051
ZTF19aakswwb,AGN,17,36.06
ZTF19aaksxgp,SN IIn,22,79.921
ZTF19aaktorq,AGN,539,2681.795
ZTF19aakxogv,AGN,12,811.952
ZTF19aakyofv,CV,20,2511.153
ZTF19aalfjvu,AGN,146,1325.171
ZTF19aaljeup,SN Ia,10,28.916
ZTF19aalwfly,CV,276,2563.096
ZTF19aalxsfe,AGN,561,2590.968
ZTF19aalzdfg,AGN,349,2671.86
ZTF19aamfupg,CV,14,1597.353
ZTF19aamgeup,CV,31,2538.064
ZTF19aamiwwa,AGN,163,2646.902
ZTF19aamjjcx,AGN,771,2704.319
ZTF19aamkdtq,SN Ia,30,44.012
ZTF19aamnvaq,CV,47,2504.062
ZTF19aampokl,CV,64,2564.945
ZTF19aamqfxq,SN Ia,61,85.791
ZTF19aamqlah,CV,70,2478.264
ZTF19aamsetj,SN Ic,26,59.026
ZTF19aamsoze,AGN,321,2637.004
ZTF19aamtdws,CV,40,2579.031
ZTF19aamtwwv,SN Ia,16,39.904
ZTF19aamvape,SN II,81,127.706
ZTF19aamwyzl,SN Ia,19,2453.186
ZTF19aamyzoo,CV,24,2499.147
ZTF19aanepuf,CV,33,2591.991
ZTF19aanesgt,SLSN-I,15,38.979
ZTF19aanetjx,SN Ia,33,1297.314
ZTF19aanfqug,SN IIn,18,52.006
ZTF19aanfrmq,AGN,497,2623.987
ZTF19aanfukh,SN Ic,24,79.0
ZTF19aangwaa,AGN,407,2634.909
ZTF19aanhffu,CV,17,2518.19
ZTF19aanhhal,SN II,49,114.964
ZTF19aanijpu,SN Ic,48,148.851
ZTF19aaniore,SN II,70,123.699
ZTF19aanneuv,CV,56,2532.02
ZTF19aanpgdu,CV,12,47.996
ZTF19aanqzhm,SN IIn,13,29.066
ZTF19aanujan,CV,13,12.083
ZTF19aaodojg,CV,67,2455.646
ZTF19aaodsna,CV,27,2344.709
ZTF19aaoiawb,AGN,268,2519.069
ZTF19aaojljx,AGN,568,2501.076
ZTF19aaokist,SN Ia,40,65.941
ZTF19aaozsuh,SN IIn,180,2665.868
ZTF19aapafqd,SN II,61,132.731
ZTF19aapbfot,SN II,38,91.714
ZTF19aapbsrv,CV,50,2471.192
ZTF19aapcnzi,SN II,10,26.982
ZTF19aapqcnf,AGN,167,2639.957
ZTF19aapqrsh,SN Ia,14,62.98
ZTF19aaprdox,AGN,467,2663.874
ZTF19aapwlhg,CV,77,2401.646
ZTF19aapzrfg,AGN,435,2661.81
ZTF19aaqasrq,SN IIn,32,82.896
ZTF19aaqcqkv,SN Ia,30,74.993
ZTF19aaqhmju,AGN,112,2625.943
ZTF19aaqstxo,CV,105,2345.871
ZTF19aaqtsky,AGN,839,2391.686
ZTF19aarfyvc,SN Ic,26,76.922
ZTF19aargcuk,CV,71,2318.872
ZTF19aarhrru,AGN,13,141.338
ZTF19aarphwc,SLSN-I,82,102.766
ZTF19aarpymc,AGN,623,2411.632
ZTF19aarxrem,SN IIn,12,35.943
ZTF19aaryexs,AGN,13,37.883
ZTF19aasekcx,SN IIn,60,296.231
ZTF19aatheus,SN Ic,34,94.878
ZTF19aathllr,SN II,35,91.767
ZTF19aatihek,CV,29,90.87
ZTF19aatjfny,AGN,320,2620.037
ZTF19aaugoig,SN Ia,22,60.025
ZTF19aauhhjy,SN Ia,17,49.984
